Job Class,Percentage
Management,6.1, https://en.wikipedia.org/wiki/Management
Business and Financial operations,5, http://www.careers.org/occupations/field/13/business-and-financial-operations
Computer and Mathematical,2.7, https://www.ox.ac.uk/admissions/undergraduate/courses-listing/mathematics-and-computer-science?wssl=1
Architecture and Engineering,1.7, https://en.wikipedia.org/wiki/Architectural_engineering
"Life, Physical and Social Science", 0.9, https://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6, https://www.bls.gov/ooh/community-and-social-service/home.htm
Legal,0.8, https://www.indeed.com/q-Legal-l-New-York,-NY-jobs.html
"Education, training and library",6.1, https://www.bls.gov/oes/current/oes250000.htm 
"Arts, design, entertainment, sports and media",1.7, https://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,5.5, https://www.careerbuilder.com/jobs-healthcare-practitioners-and-technical
Healthcare support,2.8, https://www.indeed.com/q-Healthcare-Support-jobs.html
Protective service,2.3, https://www.indeed.com/q-Child-Protective-Services-l-New-York,-NY-jobs.html
Food preparation and serving,8.3, https://collegegrad.com/careers/food-preparation-and-serving
Building and grounds cleaning and maintenance,3.7, https://www.bls.gov/oes/current/oes370000.htm
Personal care and service,4, https://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,10.2, https://www.bls.gov/ooh/sales/home.htm
Office and administrative support,15.1, https://www.bls.gov/ooh/office-and-administrative-support/home.htm
"Farming, fishing and forestry",0.6, https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3, https://www.bls.gov/oes/current/oes470000.htm
"Installation, maintenance and repair",3.8, https://www.bls.gov/oes/current/oes490000.htm
Production,6.1, https://www.bls.gov/oes/current/oes510000.htm
Transportation and material moving,6.5, https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8
